Optimizer,objfname,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
WOA,F1,1.06,68942.3,61373.03,49242.83,38311.44,27760.24,20644.45,16217.25,12360.14,8961.73,6525.12,4733.24,3368.66,2661.4,2043.31,1475.58,1149.35,861.08,637.5,430.41,314.61,215.73,146.51,92.77,61.19,38.41,26.3,17.32,9.96,5.21,3.33,2.1,1.29,0.79,0.4,0.26,0.17,0.1,0.06,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
WOA,F2,1.06,1362174804420.96,78459068420.25,19402225314.36,858256419.37,13870949.44,11616648.55,10653041.68,10543500.75,2001.33,29.81,26.44,21.94,16.73,12.86,10.42,8.24,6.9,5.16,4.23,3.33,2.67,2.17,1.56,1.08,0.82,0.68,0.53,0.42,0.31,0.22,0.17,0.14,0.1,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOA,F3,1.31,150185.09,146750.43,131614.71,126338.58,123682.91,123130.12,122800.58,122427.5,122217.04,122034.03,121882.44,121551.05,121265.9,121066.45,120830.47,120467.03,120151.1,119904.03,119585.89,119330.96,119086.61,118777.82,118277.62,117905.68,117675.31,117224.2,116832.56,116394.06,116086.84,115538.21,114992.18,114456.42,114102.28,113862.8,113449.57,112844.69,112357.96,111698.29,111408.36,111164.69,110805.93,110491.02,109977.38,109631.06,109138.97,108673.46,107906.41,107482.81,107092.4,106738.9
WOA,F4,1.1,87.63,86.38,84.72,83.1,82.01,80.52,79.66,78.94,78.13,77.5,76.27,75.72,75.08,73.89,73.25,72.88,72.76,72.48,72.22,72.19,72.15,72.03,72.02,71.99,71.92,71.9,71.88,71.42,71.21,70.76,70.27,70.04,69.97,69.73,69.09,68.87,68.75,68.68,68.58,68.55,68.51,68.46,68.38,68.36,68.34,68.33,68.33,68.33,68.33,68.33
WOA,F5,1.07,262205967.18,224995590.0,185024283.32,124259063.98,83495710.18,60274014.25,42578978.35,32170867.8,19559732.79,14676773.53,8553544.76,4814280.27,3320948.55,1865585.65,1310005.62,957095.07,626759.59,479374.07,241572.36,148597.07,100392.86,42541.87,26344.84,11882.48,6633.58,3081.24,1524.22,839.78,526.95,237.83,143.41,89.36,66.22,54.43,44.83,38.69,35.3,33.37,31.99,31.05,30.38,29.94,29.43,29.19,29.03,28.97,28.93,28.91,28.9,28.89
WOA,F6,1.17,67006.51,60037.51,48110.39,35772.94,25731.26,19915.04,14469.41,10679.46,8220.17,6301.06,4709.64,3454.04,2390.4,1816.52,1375.93,967.9,733.12,556.91,403.42,239.88,172.83,123.11,69.55,44.17,26.95,19.35,13.69,9.76,6.32,5.0,4.13,3.5,3.15,2.9,2.75,2.66,2.6,2.57,2.55,2.53,2.52,2.51,2.51,2.51,2.5,2.5,2.5,2.5,2.5,2.5
WOA,F7,1.35,118.11,100.47,70.44,50.03,35.24,22.6,15.01,9.52,5.98,4.46,2.96,2.26,1.75,1.22,0.97,0.75,0.63,0.45,0.38,0.3,0.27,0.22,0.18,0.15,0.14,0.12,0.11,0.1,0.1,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
WOA,F8,1.31,-2115.84,-3210.14,-4473.89,-5185.04,-5815.75,-6162.1,-6504.61,-6937.58,-7298.88,-7501.34,-7644.32,-7804.74,-7882.49,-7912.15,-7943.48,-7956.26,-7973.89,-7989.65,-8021.2,-8138.55,-8164.44,-8183.13,-8205.28,-8223.06,-8238.52,-8249.99,-8325.8,-8335.82,-8374.73,-8385.56,-8394.48,-8399.35,-8406.51,-8412.36,-8426.32,-8440.76,-8443.98,-8445.74,-8447.24,-8448.58,-8449.65,-8450.55,-8451.55,-8451.93,-8452.43,-8452.82,-8453.05,-8453.13,-8453.45,-8453.75
WOA,F9,1.25,447.15,421.65,398.43,369.88,350.91,335.02,317.01,308.46,299.47,287.34,276.95,260.53,250.8,243.6,230.67,223.86,214.18,204.3,194.22,173.66,164.13,152.39,138.25,124.95,112.73,102.01,94.11,85.03,73.86,63.99,52.64,46.34,41.65,36.34,32.27,28.51,27.47,26.69,25.73,25.21,25.1,25.05,24.7,24.62,24.58,24.56,24.55,24.53,24.53,24.52
WOA,F10,1.31,20.66,20.4,19.46,18.77,17.81,16.8,15.56,14.63,13.56,12.88,12.06,10.84,9.87,9.06,8.12,7.28,6.46,5.89,5.28,4.42,3.76,3.22,2.81,2.31,1.79,1.43,1.1,0.86,0.66,0.48,0.38,0.28,0.21,0.16,0.12,0.09,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01
WOA,F11,1.33,611.55,538.36,441.83,353.11,267.6,214.16,161.94,115.21,82.37,60.45,45.04,31.07,23.19,14.67,10.83,8.94,6.77,5.25,3.81,3.03,2.45,2.05,1.6,1.43,1.23,1.11,0.97,0.85,0.74,0.68,0.58,0.48,0.38,0.29,0.23,0.17,0.12,0.1,0.08,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03
WOA,F12,1.34,600904458.2,533059001.72,384021571.01,251410620.3,130938738.34,85085395.6,56768050.8,30878161.87,17975120.22,8866991.73,5352120.76,2276451.76,1471503.2,527617.64,283591.99,230462.62,135410.18,72363.16,25284.78,9212.96,7551.62,4751.12,97.23,20.93,12.41,9.3,6.46,4.78,3.18,2.5,1.87,1.56,1.24,0.85,0.65,0.56,0.47,0.43,0.4,0.39,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
WOA,F13,1.42,1186415957.61,1082839753.77,812040847.6,523050080.3,344405124.43,251650984.22,156288332.89,111712742.51,63740258.14,41872147.65,33746546.03,25312753.01,12692807.8,8133774.96,4913224.85,3262976.49,2386450.15,1575010.88,1041954.59,588524.48,362363.05,232052.42,153921.31,25829.47,1554.59,291.76,135.78,69.79,54.31,40.83,27.36,17.68,4.4,2.86,2.25,1.91,1.66,1.51,1.43,1.4,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38
WOA,F14,1.28,156.89,60.19,35.46,16.03,9.42,9.08,8.98,8.01,7.95,7.79,7.52,7.33,7.16,7.05,6.89,6.05,6.02,5.83,5.71,5.58,5.35,5.29,5.16,4.98,4.98,4.89,4.73,4.72,4.72,4.72,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.7,4.7,4.7,4.7,4.7
WOA,F15,0.25,0.3,0.08,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOA,F16,0.11,1.58,-0.38,-0.63,-0.83,-0.91,-0.95,-0.96,-0.97,-0.98,-0.99,-0.99,-1.0,-1.0,-1.0,-1.01,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03,-1.03
WOA,F17,0.13,2.99,1.92,1.49,0.97,0.89,0.76,0.66,0.63,0.62,0.61,0.6,0.58,0.56,0.56,0.53,0.48,0.48,0.47,0.47,0.45,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
